Wavelength(nm),Intensities
632.1208383903,2594.4
632.1250050569668,2671.6
632.1291717236334,3041.6
632.1333383903001,3424.0
632.1375050569667,3795.6
632.1416717236334,4231.6
632.1458383903,4900.0
632.1500050569667,5677.6
632.1541717236333,6449.2
632.1583383903001,7313.2
632.1625050569667,8749.2
632.1666717236334,9662.8
632.1708383903,10977.6
632.1750050569667,11888.8
632.1791717236333,14742.4
632.1833383903,17379.2
632.1875050569668,19122.4
632.1916717236334,20666.0
632.1958383903001,22480.4
632.2000050569667,23545.2
632.2041717236334,24672.4
632.2083383903,24718.0
632.2125050569667,24502.0
632.2166717236333,24169.6
632.2208383903001,23251.2
632.2250050569667,22057.6
632.2291717236334,20522.0
632.2333383903,18866.0
632.2375050569667,16495.6
632.2416717236333,14689.2
632.2458383903,11828.4
632.2500050569668,9300.4
632.2541717236334,7430.8
632.2583383903001,6247.6
632.2625050569667,4940.0
632.2666717236334,4102.0
632.2708383903,3397.2
632.2750050569667,2884.4
632.2791717236333,2398.0
632.2833383903001,2047.2
632.2875050569667,1850.4
632.2916717236334,1754.4
632.2958383903,1582.4
