wavelength,intensity
458.333337,308
458.4166703,314
458.5000037,314
458.583337,314
458.6666703,316
458.7500037,314
458.833337,316
458.9166703,320
459.0000037,320
459.083337,320
459.1666703,320
459.2500037,322
459.333337,324
459.4166703,326
459.5000037,324
459.583337,326
459.6666703,324
459.7500037,326
459.833337,330
459.9166703,330
460.0000037,330
460.083337,332
460.1666703,334
460.2500037,332
460.333337,334
460.4166703,336
460.5000037,336
460.583337,340
460.6666704,340
460.7500037,340
460.833337,346
460.9166704,342
461.0000037,346
461.083337,346
461.1666704,346
461.2500037,346
461.333337,346
461.4166704,348
461.5000037,348
461.583337,352
461.6666704,352
461.7500037,352
461.833337,354
461.9166704,354
462.0000037,352
462.083337,356
462.1666704,358
462.2500037,360
462.333337,358
462.4166704,364
462.5000037,364
462.583337,364
462.6666704,364
462.7500037,364
462.833337,364
462.9166704,368
463.0000037,368
463.083337,368
463.1666704,370
463.2500037,376
463.333337,376
463.4166704,376
463.5000037,376
463.583337,376
463.6666704,376
463.7500037,376
463.833337,380
463.9166704,380
464.0000037,384
464.083337,382
464.1666704,384
464.2500037,384
464.333337,384
464.4166704,386
464.5000037,388
464.583337,388
464.6666704,392
464.7500037,390
464.8333371,392
464.9166704,394
465.0000037,392
465.0833371,396
465.1666704,396
465.2500037,398
465.3333371,398
465.4166704,400
465.5000037,398
465.5833371,402
465.6666704,400
465.7500037,406
465.8333371,404
465.9166704,406
466.0000037,406
466.0833371,410
466.1666704,412
466.2500037,410
466.3333371,412
466.4166704,410
466.5000037,412
466.5833371,414
466.6666704,414
466.7500037,416
466.8333371,418
466.9166704,418
467.0000037,420
467.0833371,420
467.1666704,422
467.2500037,424
467.3333371,424
467.4166704,424
467.5000037,424
467.5833371,428
467.6666704,426
467.7500037,430
467.8333371,430
467.9166704,434
468.0000037,432
468.0833371,434
468.1666704,432
468.2500037,436
468.3333371,436
468.4166704,436
468.5000037,436
468.5833371,440
468.6666704,440
468.7500037,440
468.8333371,444
468.9166704,444
469.0000038,446
469.0833371,448
469.1666704,444
469.2500038,448
469.3333371,448
469.4166704,450
469.5000038,450
469.5833371,452
469.6666704,452
469.7500038,456
469.8333371,456
469.9166704,456
470.0000038,456
470.0833371,458
470.1666704,460
470.2500038,458
470.3333371,460
470.4166704,460
470.5000038,462
470.5833371,464
470.6666704,466
470.7500038,464
470.8333371,468
470.9166704,468
471.0000038,468
471.0833371,472
471.1666704,472
471.2500038,472
471.3333371,472
471.4166704,476
471.5000038,476
471.5833371,476
471.6666704,478
471.7500038,476
471.8333371,480
471.9166704,478
472.0000038,482
472.0833371,482
472.1666704,480
472.2500038,484
472.3333371,482
472.4166704,486
472.5000038,486
472.5833371,486
472.6666704,486
472.7500038,490
472.8333371,490
472.9166704,492
473.0000038,492
473.0833371,492
473.1666705,496
473.2500038,496
473.3333371,496
473.4166705,498
473.5000038,498
473.5833371,500
473.6666705,500
473.7500038,498
473.8333371,500
473.9166705,502
474.0000038,502
474.0833371,504
474.1666705,508
474.2500038,508
474.3333371,508
474.4166705,510
474.5000038,512
474.5833371,512
474.6666705,512
474.7500038,512
474.8333371,512
474.9166705,516
475.0000038,516
475.0833371,512
475.1666705,516
475.2500038,516
475.3333371,520
475.4166705,518
475.5000038,518
475.5833371,520
475.6666705,522
475.7500038,520
475.8333371,522
475.9166705,524
476.0000038,522
476.0833371,524
476.1666705,526
476.2500038,528
476.3333371,526
476.4166705,528
476.5000038,528
476.5833371,530
476.6666705,530
476.7500038,532
