Wavelength(nm),Intensities
300.0000024,360.0
301.0000024,369.0
302.0000024,353.0
303.0000024,363.6
304.0000024,362.0
305.0000024,367.0
306.0000024,365.0
307.0000024,360.4
308.0000024,358.8
309.0000024,366.6
310.0000024,367.0
311.0000024,360.6
312.0000024,354.2
313.0000024,357.4
314.0000024,365.6
315.0000024,349.6
316.0000024,357.8
317.0000024,358.0
318.0000024,360.0
319.0000024,356.0
320.0000024,358.0
321.0000024,368.8
322.0000024,358.4
323.0000024,358.4
324.0000024,364.2
325.0000024,367.2
326.0000024,372.2
327.0000024,366.6
328.0000024,360.4
329.0000024,372.0
330.0000024,355.4
331.0000024,359.8
332.0000024,371.6
333.0000024,369.0
334.0000024,365.4
335.0000024,361.8
336.0000024,366.2
337.0000024,364.6
338.0000024,360.6
339.0000024,365.2
340.0000024,366.2
341.0000024,367.0
342.0000024,363.2
343.0000024,368.6
344.0000024,361.8
345.0000024,368.0
346.0000024,367.6
347.0000024,372.4
348.0000024,359.4
349.0000024,373.8
350.0000024,365.8
351.0000024,362.8
352.0000024,355.4
353.0000024,367.2
354.0000024,368.0
355.0000024,358.8
356.0000024,365.0
357.0000024,361.2
358.0000024,372.8
359.0000024,364.0
360.0000024,368.4
361.0000024,360.4
362.0000024,366.8
363.0000024,366.4
364.0000024,367.6
365.0000024,368.0
366.0000024,366.2
367.0000024,373.6
368.0000024,362.4
369.0000024,358.0
370.0000024,365.6
371.0000024,369.2
372.0000024,373.0
373.0000024,366.2
374.0000024,371.6
375.0000024,355.0
376.0000024,364.2
377.0000024,370.2
378.0000024,363.6
379.0000024,377.2
380.0000024,359.0
381.0000024,384.0
382.0000024,368.0
383.0000024,388.6
384.0000024,378.6
385.0000024,383.0
386.0000024,380.8
387.0000024,389.6
388.0000024,371.0
389.0000024,378.4
390.0000024,362.8
391.0000024,382.0
392.0000024,376.0
393.0000024,384.6
394.0000024,375.6
395.0000024,384.6
396.0000024,381.4
397.0000024,392.4
398.0000024,381.8
399.0000024,386.2
400.0000024,388.8
401.0000024,382.2
402.0000024,383.6
403.0000024,376.8
404.0000024,370.2
405.0000024,380.0
406.0000024,376.8
407.0000024,399.2
408.0000024,389.6
409.0000024,387.8
410.0000024,368.0
411.0000024,363.0
412.0000024,372.8
413.0000024,376.8
414.0000024,377.0
415.0000024,374.4
416.0000024,392.0
417.0000024,389.6
418.0000024,398.6
419.0000024,406.8
420.0000024,406.6
421.0000024,408.8
422.0000024,393.0
423.0000024,413.4
424.0000024,398.4
425.0000024,398.6
426.0000024,397.2
427.0000024,402.8
428.0000024,394.6
429.0000024,381.8
430.0000024,399.0
431.0000024,387.0
432.0000024,387.2
433.0000024,381.6
434.0000024,381.2
435.0000024,386.8
436.0000024,396.6
437.0000024,392.0
438.0000024,380.4
439.0000024,374.8
440.0000024,370.8
441.0000024,387.0
442.0000024,374.0
443.0000024,388.2
444.0000024,375.8
445.0000024,387.2
446.0000024,389.6
447.0000024,383.6
448.0000024,383.4
449.0000024,374.8
450.0000024,382.0
451.0000024,358.8
452.0000024,361.6
453.0000024,360.6
454.0000024,367.0
455.0000024,374.6
456.0000024,378.2
457.0000024,377.4
458.0000024,373.6
459.0000024,375.4
460.0000024,381.6
461.0000024,385.8
462.0000024,379.0
463.0000024,394.2
464.0000024,387.2
465.0000024,391.6
466.0000024,397.4
467.0000024,387.6
468.0000024,394.6
469.0000024,385.6
470.0000024,396.2
471.0000024,398.4
472.0000024,394.8
473.0000024,386.6
474.0000024,388.2
475.0000024,403.2
476.0000024,390.6
477.0000024,396.6
478.0000024,408.4
479.0000024,397.6
480.0000024,398.4
481.0000024,405.6
482.0000024,414.0
483.0000024,401.8
484.0000024,402.6
485.0000024,402.6
486.0000024,412.2
487.0000024,406.8
488.0000024,412.0
489.0000024,398.0
490.0000024,408.6
491.0000024,400.8
492.0000024,406.2
493.0000024,412.6
494.0000024,409.4
495.0000024,411.6
496.0000024,412.0
497.0000024,417.4
498.0000024,425.8
499.0000024,421.4
500.0000024,422.4
501.0000024,413.0
502.0000024,421.0
503.0000024,417.4
504.0000024,425.2
505.0000024,410.0
506.0000024,423.2
507.0000024,408.6
508.0000024,419.0
509.0000024,406.0
510.0000024,412.2
511.0000024,414.6
512.0000024000001,414.2
513.0000024000001,410.2
514.0000024000001,417.4
515.0000024000001,427.4
516.0000024000001,419.8
517.0000024000001,421.6
518.0000024000001,431.4
519.0000024000001,419.8
520.0000024000001,429.0
